,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
695,629,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140.0,Somewhat clean,Very safe,Somewhat satsified
696,3026,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,120.0,Clean,Very safe,Very satisfied
697,1671,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,125.0,Somewhat clean,Somewhat safe,Very satisfied
698,3248,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,74.9999999999999,Clean,Very safe,Very satisfied
699,684,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,230.0,Somewhat clean,Very safe,Somewhat satsified
701,1905,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,128.0,Somewhat clean,Neutral,Somewhat satsified
703,774,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,220.0,Somewhat clean,Very safe,Neutral
704,2917,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,14.9999999999999,Clean,Very safe,Very satisfied
705,1459,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,84.9999999999999,Clean,Neutral,Very satisfied
706,1178,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satsified
707,2691,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,367.0,Average,Neutral,Neutral
708,857,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,154.0,Clean,Somewhat safe,Somewhat satsified
709,3148,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satsified
710,1519,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satsified
711,1126,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,105.0,Average,Very safe,Somewhat satsified
712,3269,Tuesday,UNITED,LAS VEGAS,West US,    Hub,Gates 70-90,2018-12-31,85.0000000000002,Average,Somewhat safe,Neutral
714,1960,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Neutral,Neutral
715,2545,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,83.0,Somewhat clean,Very safe,Neutral
718,2582,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Somewhat clean,Somewhat safe,Neutral
719,358,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,80.0,Somewhat clean,Somewhat safe,Neutral
720,2912,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satsified
721,2030,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat unsatisfied
722,2242,Wednesday,WOW,REYKJAVIK,eur,Small     ,Gates 91-102,2018-12-31,156.0,Somewhat clean,Somewhat safe,Neutral
723,2556,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,108.0,Somewhat clean,Somewhat safe,Neutral
724,853,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85.0000000000002,Somewhat clean,Somewhat safe,Very satisfied
725,3168,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,110.0,Clean,Somewhat safe,Very satisfied
726,2234,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60.0,Clean,Very safe,Somewhat satsified
727,2765,Sunday,WOW,REYKJAVIK,eur,Small     ,Gates 1-12,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satsified
728,3092,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173.0,Average,Somewhat safe,Neutral
729,285,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,164.0,Average,Somewhat safe,Neutral
730,1480,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,130.0,Somewhat clean,Somewhat safe,Somewhat satsified
731,3175,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,60.0,Clean,Very safe,Somewhat satsified
732,2770,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satsified
733,3033,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified
734,1661,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,150.0,Average,Neutral,Very satisfied
735,2634,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,60.0,Somewhat clean,Somewhat safe,Neutral
736,1987,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Neutral,Neutral
737,1861,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified
738,1278,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,320.0,Average,Somewhat safe,Somewhat satsified
739,1841,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,300.0,Clean,Very safe,Very satisfied
740,341,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,98.0,Clean,Somewhat safe,Somewhat satsified
741,1978,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,155.0,Clean,Somewhat safe,Very satisfied
743,319,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,59.99999999999989,Clean,Neutral,Very satisfied
744,1636,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,195.0,Clean,Very safe,Somewhat satsified
745,3292,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,145.0,Clean,Very safe,Very satisfied
746,3203,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,2018-12-31,245.0,Clean,Very safe,Very satisfied
747,1898,Monday,LUFTHANSA,MUNICH,eur,    Hub,Gates 91-102,2018-12-31,235.0,Somewhat dirty,Neutral,Neutral
748,633,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,95.0,Somewhat clean,Somewhat safe,Neutral
749,1385,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,235.0,Clean,Very safe,Very satisfied
751,2069,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,177.0,Clean,Somewhat safe,Somewhat satsified
752,299,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,130.0,Average,Neutral,Neutral
753,2730,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,122.0,Somewhat clean,Very safe,Somewhat satsified
754,1676,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satsified
755,3282,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,80.0,Somewhat clean,Very safe,Somewhat satsified
756,2112,Tuesday,AMERICAN,PHOENIX,West US,    Hub,Gates 50-59,2018-12-31,121.0,Somewhat clean,Very safe,Very satisfied
757,1986,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Somewhat safe,Somewhat satsified
758,2595,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,147.0,Somewhat clean,Somewhat safe,Somewhat satsified
759,814,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,185.0,Clean,Very safe,Very satisfied
760,2551,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,135.0,Average,Very safe,Neutral
761,1965,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Somewhat safe,Somewhat satsified
762,2640,Tuesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,113.0,Average,Somewhat safe,Very unsatisfied
763,395,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satsified
764,728,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,185.0,Clean,Very safe,Very satisfied
765,1215,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,55.00000000000011,Clean,Somewhat safe,Somewhat satsified
766,2314,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150.0,Clean,Somewhat safe,Somewhat satsified
767,1718,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,210.0,Average,Somewhat safe,Neutral
768,2383,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,    Hub,Gates 91-102,2018-12-31,215.0,Clean,Very safe,Somewhat satsified
769,584,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,95.0,Clean,Neutral,Somewhat satsified
770,1770,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,    Hub,Gates 50-59,2018-12-31,85.0,Clean,Very safe,Somewhat satsified
771,642,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125.0,Somewhat clean,Neutral,Neutral
772,1865,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,505.0,Clean,Somewhat safe,Somewhat satsified
773,2100,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,49.0,Somewhat clean,Very safe,Somewhat satsified
774,2647,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,132.0,Somewhat clean,Neutral,Neutral
775,1982,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,265.0,Average,Somewhat safe,Neutral
776,1973,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied
777,310,Tuesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,95.0000000000001,Clean,Very safe,Somewhat satsified
778,2386,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,215.0,Somewhat clean,Very safe,Very satisfied
779,295,Wednesday,SOUTHWEST,LOS ANGELES,West US,    Hub,Gates 20-39,2018-12-31,190.0,Average,Neutral,Neutral
780,2301,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,175.0,Somewhat clean,Somewhat safe,Somewhat satsified
781,1253,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195.0,Somewhat clean,Somewhat safe,Very satisfied
782,1649,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Very safe,Somewhat satsified
783,3279,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,125.0,Somewhat clean,Neutral,Somewhat satsified
784,863,Tuesday,ALASKA,SEATTLE,West US,Hub     ,Gates 50-59,2018-12-31,65.0000000000001,Somewhat clean,Very safe,Neutral
785,2771,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Very safe,Somewhat satsified
786,1547,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,240.0,Clean,Somewhat safe,Somewhat satsified
787,750,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,2018-12-31,235.0,Somewhat clean,Somewhat safe,Somewhat satsified
788,2285,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Somewhat safe,Neutral
789,3214,Tuesday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,2018-12-31,75.0000000000001,Somewhat clean,Somewhat safe,Neutral
790,2172,Wednesday,FRONTIER,DENVER,West US,    Hub,Gates 20-39,2018-12-31,153.0,Clean,Somewhat safe,Somewhat satsified
791,576,Thursday,JETBLUE,BOSTON,EAST US,    Large,Gates 1-12,2018-12-31,112.0,Somewhat clean,Somewhat safe,Very satisfied
792,404,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,2018-12-31,84.9999999999999,Clean,Somewhat safe,Somewhat satsified
794,2254,Wednesday,UNITED,LOS ANGELES,West US,    Hub,Gates 60-69,2018-12-31,185.0,Clean,Very safe,Very satisfied
795,682,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,125.0,Somewhat clean,Somewhat safe,Neutral
796,2028,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,95.0,Somewhat clean,Somewhat safe,Very satisfied
798,854,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,109.0,Somewhat clean,Very safe,Very satisfied
799,1675,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,85.0,Somewhat clean,Very safe,Somewhat satsified
800,1604,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,320.0,Somewhat clean,Somewhat safe,Somewhat satsified
801,534,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,225.0,Clean,Very safe,Somewhat satsified
802,2829,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,93.0,Somewhat clean,Very safe,Somewhat satsified
803,1822,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,215.0,Clean,Very safe,Somewhat satsified
805,1948,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115.0,Somewhat clean,Neutral,Neutral
806,2950,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,115.0,Average,Somewhat safe,Neutral
807,2508,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satsified
808,292,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,190.0,Average,Neutral,Somewhat satsified
809,876,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,265.0,Clean,Somewhat safe,Very satisfied
810,2120,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,79.0,Somewhat clean,Somewhat safe,Somewhat satsified
811,2764,Thursday,DELTA,ATLANTA,EAST US,    Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified
812,787,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,850.0,Somewhat clean,Very safe,Neutral
813,2883,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,180.0,Somewhat clean,Very safe,Somewhat satsified
814,421,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,105.0,Somewhat clean,Very safe,Very satisfied
815,2683,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub     ,Gates 1-12,2018-12-31,210.0,Somewhat clean,Very safe,Somewhat satsified
816,2805,Tuesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,360.0,Somewhat clean,Somewhat safe,Very satisfied
817,2554,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,93.0,Clean,Somewhat safe,Very satisfied
818,472,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,91.0,Somewhat clean,Very safe,Somewhat satsified
819,2535,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,160.0,Somewhat clean,Somewhat safe,Somewhat satsified
821,613,Thursday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140.0,Average,Neutral,Somewhat satsified
822,2694,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,150.0,Clean,Somewhat safe,Very satisfied
823,808,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,120.0,Clean,Very safe,Very satisfied
825,574,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,75.0,Clean,Very safe,Very satisfied
827,2984,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,2018-12-31,225.0,Clean,Very safe,Somewhat satsified
828,425,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,177.0,Somewhat clean,Somewhat safe,Somewhat satsified
829,3160,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,19.999999999999897,Clean,Very safe,Neutral
830,2514,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,84.0,Somewhat clean,Very safe,Neutral
831,802,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,430.0,Somewhat clean,Very safe,Somewhat satsified
832,695,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Clean,Very safe,Somewhat satsified
834,841,Sunday,ALASKA,SEATTLE,West US,    Hub,Gates 50-59,2018-12-31,95.0000000000001,Average,Neutral,Neutral
835,2346,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,255.0,Somewhat clean,Somewhat safe,Very satisfied
836,1667,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,195.0,Clean,Very safe,Somewhat satsified
837,552,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,125.0,Clean,Very safe,Very satisfied
838,2877,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,89.9999999999999,Somewhat clean,Somewhat safe,Somewhat satsified
839,1276,Thursday,CHINA SOUTHERN,WUHAN,Asia,Medium     ,Gates 1-12,2018-12-31,225.0,Somewhat dirty,Somewhat safe,Somewhat satsified
840,556,Thursday,ALASKA,SEATTLE,West US,    Hub,Gates 50-59,2018-12-31,90.0,Somewhat clean,Neutral,Somewhat satsified
841,2184,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,195.0,Clean,Somewhat safe,Somewhat satsified
842,2991,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,122.0,Clean,Very safe,Very satisfied
843,501,Sunday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,160.0,Somewhat clean,Somewhat safe,Somewhat satsified
844,3206,Tuesday,UNITED,EUGENE,West US,    Small,Gates 70-90,2018-12-31,150.0,Clean,Very safe,Very satisfied
846,2586,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satsified
847,1988,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satsified
848,834,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,95.0000000000001,Clean,Very safe,Somewhat satsified
849,1921,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,180.0,Clean,Very safe,Somewhat satsified
850,870,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,115.0,Somewhat clean,Somewhat safe,Somewhat satsified
851,1931,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified
852,3238,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,190.0,Clean,Very safe,Very satisfied
853,1862,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,75.0000000000001,Somewhat clean,Very safe,Somewhat satsified
854,1601,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,210.0,Somewhat clean,Very safe,Neutral
855,521,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Very safe,Somewhat satsified
856,2542,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,104.0,Average,Very safe,Neutral
857,2294,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,2018-12-31,59.99999999999989,Clean,Very safe,Somewhat satsified
858,818,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,155.0,Clean,Very safe,Very satisfied
860,2393,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,335.0,Clean,Somewhat safe,Somewhat satsified
862,1573,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,125.0,Somewhat clean,Somewhat safe,Somewhat satsified
863,2633,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified
864,496,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,148.0,Clean,Very safe,Very satisfied
865,2043,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,90.0,Clean,Neutral,Somewhat satsified
867,1687,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,155.0,Clean,Very safe,Very satisfied
868,2528,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,95.0,Somewhat clean,Very safe,Very satisfied
869,1879,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,95.0,Somewhat clean,Very safe,Very satisfied
870,2418,Tuesday,UNITED,HONOLULU,West US,Medium     ,Gates 70-90,2018-12-31,135.0,Somewhat clean,Somewhat safe,Somewhat satsified
871,10,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,155.0,Average,Somewhat safe,Very satisfied
872,371,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,2018-12-31,180.0,Somewhat clean,Somewhat safe,Somewhat satsified
873,688,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,155.0,Somewhat clean,Neutral,Somewhat satsified
874,1930,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,200.0,Somewhat clean,Somewhat safe,Somewhat satsified
875,1010,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,185.0,Somewhat clean,Somewhat safe,Somewhat satsified
876,3221,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,75.0,Clean,Very safe,Somewhat satsified
877,2590,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,2018-12-31,135.0,Clean,Very safe,Very satisfied
878,1690,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,695.0,Clean,Very safe,Neutral
879,519,Thursday,EMIRATES,DUBAI,middle east,Hub     ,Gates 1-12,2018-12-31,285.0,Somewhat clean,Very safe,Somewhat satsified
881,3001,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,268.0,Clean,Very safe,Very satisfied
882,1581,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,115.0,Somewhat clean,Somewhat safe,Neutral
884,1465,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-01-01,299.0,Clean,Neutral,Very satisfied
885,759,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,1210.0,Clean,Very safe,Very satisfied
886,1994,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,215.0,Somewhat clean,Very safe,Somewhat satsified
887,3172,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,105.0,Average,Somewhat safe,Neutral
888,2767,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,165.0,Somewhat clean,Very safe,Somewhat satsified
890,592,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,117.0,Somewhat clean,Very safe,Somewhat satsified
891,2298,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Neutral,Neutral
892,1933,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245.0,Clean,Very safe,Somewhat satsified
893,1929,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,185.0,Average,Somewhat safe,Neutral
894,1794,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,Medium     ,Gates 50-59,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified
895,3256,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified
897,2611,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,2018-12-31,120.0,Somewhat clean,Somewhat safe,Somewhat satsified
898,2416,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,190.0,Somewhat clean,Neutral,Somewhat satsified
899,3122,Thursday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,2018-12-31,14.9999999999999,Clean,Somewhat safe,Very satisfied
900,2693,Tuesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,79.9999999999999,Average,Very safe,Somewhat satsified
901,2121,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,2018-12-31,100.0,Somewhat clean,Somewhat safe,Very satisfied
902,3086,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,128.0,Somewhat clean,Very safe,Somewhat satsified
904,1368,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,2018-12-31,125.0,Clean,Neutral,Somewhat satsified
905,1838,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,195.0,Somewhat clean,Very safe,Somewhat satsified
906,2329,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,120.0,Somewhat clean,Somewhat safe,Neutral
